"","Media_Lat","Media_Lon"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",42.2361,-70.9725
"15",41.65427,-72.9055
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",41.30281,-72.8891
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",41.64993,-73.0783
"29",NA,NA
"30",41.55542,-73.049
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",42.27109,-71.4008
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"41",NA,NA
"42",NA,NA
"43",NA,NA
"44",NA,NA
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",41.37471,-72.8794
"60",NA,NA
"61",41.68199,-72.872
"62",41.90297,-71.9121
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",41.76593,-71.4135
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",41.55251,-72.7932
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",41.8924,-72.7088
"98",NA,NA
"99",40.93752,-73.9016
"100",42.09579,-75.9617
"101",39.78763,-75.3491
"102",40.55803,-74.565
"103",18.14862,-65.7944
"104",42.88309,-78.8009
"105",NA,NA
"106",40.62007,-74.2354
"107",39.91148,-75.1172
"108",43.0873,-78.9996
"109",40.73872,-74.1127
"110",42.96227,-78.6186
"111",NA,NA
"112",43.2278,-78.9719
"113",40.64441,-74.1945
"114",40.70508,-74.0759
"115",40.05447,-74.1859
"116",NA,NA
"117",40.73517,-73.9449
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",42.44998,-75.0993
"123",42.04828,-73.9728
"124",40.61742,-73.6362
"125",40.76295,-73.4533
"126",18.01509,-66.6995
"127",39.53387,-75.059
"128",40.59804,-74.2598
"129",40.71526,-73.9655
"130",40.61412,-74.2526
"131",18.39418,-66.2972
"132",40.71323,-74.1301
"133",42.91412,-76.8449
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",40.65829,-74.2143
"139",40.60321,-74.2652
"140",40.70987,-73.928
"141",40.62688,-74.2409
"142",41.0341,-74.0343
"143",42.58191,-78.4995
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",40.56775,-75.4791
"150",NA,NA
"151",NA,NA
"152",39.48969,-79.6394
"153",NA,NA
"154",39.53061,-80.1167
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",37.70782,-78.3265
"160",37.70842,-78.3241
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",37.44066,-79.1397
"173",38.31453,-81.5479
"174",NA,NA
"175",NA,NA
"176",39.18042,-75.551
"177",NA,NA
"178",NA,NA
"179",40.37695,-80.5843
"180",NA,NA
"181",39.15683,-76.5695
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",40.10851,-75.9451
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",39.10381,-76.8155
"195",39.27057,-76.6331
"196",NA,NA
"197",NA,NA
"198",37.7683,-81.4201
"199",NA,NA
"200",38.93187,-81.8246
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",NA,NA
"207",NA,NA
"208",40.1671,-76.8322
"209",39.35677,-81.3099
"210",NA,NA
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,NA
"218",NA,NA
"219",NA,NA
"220",39.27194,-81.6617
"221",39.74704,-80.8519
"222",NA,NA
"223",NA,NA
"224",39.98381,-76.7431
"225",NA,NA
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",NA,NA
"230",NA,NA
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",37.52321,-77.4328
"236",38.42755,-81.8493
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",40.34444,-80.6067
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",36.54192,-79.666
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",40.14966,-74.7652
"249",NA,NA
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",40.11166,-76.7763
"256",40.81454,-80.515
"257",NA,NA
"258",38.28104,-81.4968
"259",NA,NA
"260",40.25063,-79.8786
"261",NA,NA
"262",NA,NA
"263",NA,NA
"264",NA,NA
"265",NA,NA
"266",NA,NA
"267",NA,NA
"268",NA,NA
"269",NA,NA
"270",41.85582,-75.7314
"271",NA,NA
"272",40.21944,-79.6972
"273",40.39082,-80.3736
"274",NA,NA
"275",NA,NA
"276",39.21361,-76.5507
"277",NA,NA
"278",NA,NA
"279",NA,NA
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",40.34344,-80.605
"284",NA,NA
"285",NA,NA
"286",NA,NA
"287",NA,NA
"288",40.2916,-75.2834
"289",NA,NA
"290",NA,NA
"291",NA,NA
"292",39.25995,-81.6793
"293",NA,NA
"294",NA,NA
"295",NA,NA
"296",NA,NA
"297",NA,NA
"298",NA,NA
"299",NA,NA
"300",NA,NA
"301",40.79613,-80.4679
"302",41.01248,-79.7177
"303",40.35008,-79.9515
"304",NA,NA
"305",NA,NA
"306",NA,NA
"307",NA,NA
"308",NA,NA
"309",NA,NA
"310",NA,NA
"311",NA,NA
"312",40.61998,-80.6073
"313",NA,NA
"314",38.35446,-81.7072
"315",36.68884,-79.8505
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",NA,NA
"320",NA,NA
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",40.30025,-75.9115
"325",NA,NA
"326",NA,NA
"327",NA,NA
"328",NA,NA
"329",33.56929,-86.5213
"330",28.09431,-80.6977
"331",37.0517,-88.3952
"332",30.26529,-86.4749
"333",33.3539,-86.4617
"334",NA,NA
"335",38.37805,-82.6264
"336",27.63947,-82.5383
"337",NA,NA
"338",32.19405,-86.1634
"339",30.26582,-85.5211
"340",NA,NA
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",35.89316,-81.4268
"345",NA,NA
"346",25.78595,-80.4224
"347",NA,NA
"348",NA,NA
"349",NA,NA
"350",NA,NA
"351",32.79169,-88.3072
"352",NA,NA
"353",NA,NA
"354",NA,NA
"355",NA,NA
"356",27.90262,-81.9931
"357",NA,NA
"358",NA,NA
"359",30.39226,-81.408
"360",27.95561,-81.7792
"361",NA,NA
"362",36.32841,-79.6468
"363",36.43185,-86.8056
"364",36.07481,-86.6818
"365",NA,NA
"366",NA,NA
"367",NA,NA
"368",NA,NA
"369",NA,NA
"370",NA,NA
"371",25.83549,-80.3564
"372",35.27678,-80.8714
"373",NA,NA
"374",NA,NA
"375",35.87703,-84.4354
"376",NA,NA
"377",35.98802,-84.2611
"378",35.93111,-84.3875
"379",36.05746,-79.8405
"380",NA,NA
"381",NA,NA
"382",NA,NA
"383",NA,NA
"384",27.96246,-82.3736
"385",27.91579,-82.4023
"386",26.4913,-81.9336
"387",28.98605,-81.0721
"388",NA,NA
"389",26.67876,-80.0942
"390",33.30157,-79.3064
"391",33.90685,-80.3317
"392",34.04999,-86.1228
"393",38.37221,-84.2917
"394",NA,NA
"395",26.60283,-81.7689
"396",30.38306,-88.1388
"397",30.08554,-81.618
"398",NA,NA
"399",27.76132,-82.6924
"400",34.41016,-86.3636
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",30.60579,-87.3238
"405",NA,NA
"406",30.41704,-81.5526
"407",30.08554,-81.4767
"408",38.03806,-85.7189
"409",NA,NA
"410",28.74017,-81.889
"411",28.08186,-81.9257
"412",26.56586,-81.5273
"413",26.63185,-81.7604
"414",30.42239,-84.15
"415",27.79807,-82.7399
"416",30.38559,-88.0358
"417",30.34343,-81.6291
"418",27.46992,-82.4445
"419",NA,NA
"420",29.12082,-82.058
"421",NA,NA
"422",NA,NA
"423",38.26917,-85.809
"424",NA,NA
"425",26.05249,-80.2283
"426",33.39255,-85.4924
"427",NA,NA
"428",28.47809,-81.2074
"429",27.33893,-80.6942
"430",26.57788,-80.75
"431",NA,NA
"432",NA,NA
"433",NA,NA
"434",NA,NA
"435",28.36961,-82.56
"436",35.08411,-90.0351
"437",29.7168,-82.3499
"438",30.79782,-83.2784
"439",NA,NA
"440",33.741,-87.072
"441",33.68999,-80.5272
"442",38.69055,-85.1405
"443",33.49899,-86.8468
"444",NA,NA
"445",27.36426,-82.5296
"446",34.8716,-81.9762
"447",NA,NA
"448",30.17987,-81.7182
"449",30.40176,-84.3253
"450",NA,NA
"451",NA,NA
"452",33.97284,-81.1992
"453",27.92609,-82.3943
"454",26.54021,-80.0809
"455",28.80644,-81.318
"456",25.86043,-80.3404
"457",38.43388,-85.2314
"458",NA,NA
"459",NA,NA
"460",NA,NA
"461",34.41005,-86.3534
"462",30.26118,-81.6084
"463",NA,NA
"464",30.92668,-85.4261
"465",NA,NA
"466",27.89023,-82.7137
"467",28.63901,-81.516
"468",NA,NA
"469",NA,NA
"470",27.95866,-82.3755
"471",27.9243,-82.4391
"472",NA,NA
"473",37.38943,-86.8692
"474",NA,NA
"475",35.27617,-89.9405
"476",27.95712,-82.3985
"477",28.41827,-81.3863
"478",35.90833,-84.3917
"479",35.98579,-84.2556
"480",33.304,-86.4869
"481",29.63181,-82.368
"482",30.42419,-88.0588
"483",NA,NA
"484",30.3644,-84.269
"485",33.60872,-84.3211
"486",36.13222,-78.7314
"487",NA,NA
"488",NA,NA
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",26.28972,-80.1492
"493",NA,NA
"494",NA,NA
"495",NA,NA
"496",NA,NA
"497",41.04541,-85.0582
"498",NA,NA
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",42.2641,-83.4712
"503",NA,NA
"504",46.76041,-92.106
"505",43.15167,-87.9824
"506",41.77942,-87.8568
"507",NA,NA
"508",NA,NA
"509",NA,NA
"510",NA,NA
"511",NA,NA
"512",NA,NA
"513",NA,NA
"514",42.14984,-89.0769
"515",NA,NA
"516",41.47874,-81.7069
"517",NA,NA
"518",39.01399,-90.1752
"519",NA,NA
"520",NA,NA
"521",NA,NA
"522",NA,NA
"523",NA,NA
"524",41.65631,-87.7142
"525",41.48332,-81.6833
"526",NA,NA
"527",NA,NA
"528",41.64038,-87.5736
"529",NA,NA
"530",NA,NA
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",NA,NA
"535",41.48198,-81.6724
"536",42.34242,-89.3594
"537",NA,NA
"538",41.68256,-87.5762
"539",39.4431,-84.1731
"540",NA,NA
"541",NA,NA
"542",44.98436,-93.2786
"543",NA,NA
"544",NA,NA
"545",44.73347,-93.2079
"546",NA,NA
"547",42.44638,-85.6339
"548",NA,NA
"549",NA,NA
"550",45.84946,-93.353
"551",40.81799,-80.5221
"552",44.78307,-93.2934
"553",41.59038,-87.6447
"554",40.77415,-81.3703
"555",NA,NA
"556",NA,NA
"557",NA,NA
"558",39.15277,-85.1647
"559",41.66666,-83.4655
"560",42.36707,-83.0475
"561",42.26585,-83.3952
"562",NA,NA
"563",41.60605,-83.5123
"564",39.29887,-84.6878
"565",42.28703,-83.2004
"566",NA,NA
"567",41.48528,-81.6736
"568",41.28693,-84.3111
"569",42.79068,-84.6952
"570",45.29669,-93.5553
"571",41.47951,-81.7002
"572",41.46796,-81.6362
"573",NA,NA
"574",39.7495,-86.3002
"575",NA,NA
"576",NA,NA
"577",40.63138,-80.5453
"578",39.7892,-88.0033
"579",NA,NA
"580",NA,NA
"581",42.71141,-87.8703
"582",39.13805,-84.5417
"583",44.78998,-93.2655
"584",45.07162,-83.3989
"585",41.17776,-84.6019
"586",NA,NA
"587",NA,NA
"588",NA,NA
"589",NA,NA
"590",NA,NA
"591",41.47972,-88.1336
"592",NA,NA
"593",42.65337,-83.0742
"594",NA,NA
"595",NA,NA
"596",NA,NA
"597",NA,NA
"598",39.25633,-82.8704
"599",44.98296,-93.248
"600",NA,NA
"601",42.22227,-83.521
"602",NA,NA
"603",44.78322,-93.2928
"604",NA,NA
"605",44.97185,-93.3751
"606",NA,NA
"607",44.88467,-93.0121
"608",NA,NA
"609",NA,NA
"610",NA,NA
"611",44.84782,-93.2847
"612",NA,NA
"613",NA,NA
"614",40.71631,-89.6571
"615",46.59738,-95.5667
"616",42.36292,-82.9647
"617",44.77898,-93.0611
"618",47.41309,-95.7375
"619",41.00278,-81.6208
"620",39.55611,-82.9447
"621",39.77289,-84.1529
"622",41.35805,-81.5353
"623",41.60986,-87.4839
"624",NA,NA
"625",NA,NA
"626",41.32693,-82.0344
"627",45.27272,-93.5401
"628",NA,NA
"629",41.64359,-87.605
"630",NA,NA
"631",NA,NA
"632",NA,NA
"633",NA,NA
"634",NA,NA
"635",NA,NA
"636",NA,NA
"637",NA,NA
"638",45.01797,-93.2022
"639",NA,NA
"640",39.17055,-84.5083
"641",NA,NA
"642",NA,NA
"643",NA,NA
"644",NA,NA
"645",NA,NA
"646",43.93944,-86.4344
"647",NA,NA
"648",41.63478,-87.4617
"649",44.71046,-93.0737
"650",NA,NA
"651",NA,NA
"652",39.00833,-83.0078
"653",41.3342,-89.7914
"654",42.39326,-83.0325
"655",NA,NA
"656",38.60149,-90.1783
"657",39.68443,-84.2775
"658",43.17693,-88.0636
"659",43.37503,-87.8874
"660",NA,NA
"661",41.37193,-82.9778
"662",42.85046,-88.0698
"663",43.19258,-88.1249
"664",44.8136,-94.2488
"665",39.91196,-82.2508
"666",NA,NA
"667",NA,NA
"668",NA,NA
"669",NA,NA
"670",NA,NA
"671",NA,NA
"672",NA,NA
"673",NA,NA
"674",NA,NA
"675",42.27264,-83.428
"676",NA,NA
"677",NA,NA
"678",NA,NA
"679",42.2215,-83.5212
"680",NA,NA
"681",NA,NA
"682",41.51489,-87.193
"683",NA,NA
"684",42.68163,-88.0768
"685",NA,NA
"686",44.75687,-91.456
"687",NA,NA
"688",42.48323,-87.8739
"689",NA,NA
"690",35.14471,-106.6269
"691",NA,NA
"692",NA,NA
"693",NA,NA
"694",NA,NA
"695",NA,NA
"696",NA,NA
"697",33.69528,-94.423
"698",NA,NA
"699",NA,NA
"700",NA,NA
"701",NA,NA
"702",NA,NA
"703",NA,NA
"704",NA,NA
"705",NA,NA
"706",NA,NA
"707",NA,NA
"708",NA,NA
"709",NA,NA
"710",NA,NA
"711",NA,NA
"712",NA,NA
"713",NA,NA
"714",NA,NA
"715",NA,NA
"716",NA,NA
"717",NA,NA
"718",NA,NA
"719",NA,NA
"720",NA,NA
"721",NA,NA
"722",NA,NA
"723",30.46649,-90.7409
"724",30.32092,-93.3051
"725",NA,NA
"726",NA,NA
"727",30.11777,-93.3992
"728",27.71365,-97.4616
"729",29.85594,-94.0916
"730",30.56888,-91.2142
"731",NA,NA
"732",31.56935,-92.7187
"733",29.72685,-95.0951
"734",33.20586,-92.631
"735",29.70673,-95.0913
"736",36.42621,-98.8007
"737",NA,NA
"738",30.27643,-92.3646
"739",NA,NA
"740",NA,NA
"741",29.44275,-98.4118
"742",29.46878,-94.9656
"743",29.38194,-94.8933
"744",NA,NA
"745",29.79898,-95.3012
"746",27.81305,-97.4622
"747",NA,NA
"748",36.12241,-96.0203
"749",30.48613,-91.1696
"750",32.46582,-95.1758
"751",NA,NA
"752",NA,NA
"753",NA,NA
"754",35.875,-95.75
"755",NA,NA
"756",NA,NA
"757",29.35304,-94.9131
"758",NA,NA
"759",32.77846,-96.8936
"760",NA,NA
"761",32.90298,-106.1468
"762",NA,NA
"763",NA,NA
"764",29.96889,-93.9276
"765",NA,NA
"766",29.42471,-94.9664
"767",NA,NA
"768",NA,NA
"769",NA,NA
"770",NA,NA
"771",NA,NA
"772",NA,NA
"773",NA,NA
"774",NA,NA
"775",NA,NA
"776",NA,NA
"777",29.66319,-91.127
"778",NA,NA
"779",NA,NA
"780",NA,NA
"781",NA,NA
"782",29.74333,-95.1003
"783",NA,NA
"784",NA,NA
"785",NA,NA
"786",30.06389,-94.0605
"787",NA,NA
"788",29.68214,-95.317
"789",NA,NA
"790",NA,NA
"791",35.65915,-101.4527
"792",30.17165,-91.3461
"793",NA,NA
"794",NA,NA
"795",NA,NA
"796",NA,NA
"797",NA,NA
"798",NA,NA
"799",NA,NA
"800",NA,NA
"801",34.06473,-93.0825
"802",34.51546,-92.6284
"803",NA,NA
"804",NA,NA
"805",NA,NA
"806",NA,NA
"807",NA,NA
"808",NA,NA
"809",NA,NA
"810",NA,NA
"811",33.23749,-97.0814
"812",NA,NA
"813",29.68196,-95.3182
"814",NA,NA
"815",NA,NA
"816",NA,NA
"817",NA,NA
"818",NA,NA
"819",NA,NA
"820",NA,NA
"821",NA,NA
"822",NA,NA
"823",NA,NA
"824",NA,NA
"825",30.67101,-95.5896
"826",NA,NA
"827",NA,NA
"828",NA,NA
"829",NA,NA
"830",29.73633,-95.0919
"831",NA,NA
"832",NA,NA
"833",32.4422,-97.0161
"834",31.08351,-93.1668
"835",NA,NA
"836",35.33037,-101.5797
"837",27.72905,-97.6583
"838",NA,NA
"839",32.375,-103.7917
"840",27.81277,-97.4403
"841",29.85594,-94.0916
"842",NA,NA
"843",NA,NA
"844",NA,NA
"845",29.745,-95.0942
"846",NA,NA
"847",NA,NA
"848",32.44096,-103.0528
"849",NA,NA
"850",NA,NA
"851",NA,NA
"852",NA,NA
"853",NA,NA
"854",NA,NA
"855",NA,NA
"856",NA,NA
"857",NA,NA
"858",NA,NA
"859",NA,NA
"860",NA,NA
"861",NA,NA
"862",NA,NA
"863",NA,NA
"864",NA,NA
"865",40.82674,-91.2667
"866",NA,NA
"867",37.69925,-95.4582
"868",38.79048,-91.0493
"869",39.24594,-94.3006
"870",NA,NA
"871",42.41461,-92.3266
"872",NA,NA
"873",NA,NA
"874",NA,NA
"875",NA,NA
"876",37.84734,-97.1799
"877",NA,NA
"878",41.15442,-103.6585
"879",37.72937,-97.3201
"880",37.08849,-95.5815
"881",41.31079,-92.5984
"882",37.66953,-97.3882
"883",NA,NA
"884",NA,NA
"885",NA,NA
"886",39.03316,-94.7988
"887",NA,NA
"888",37.0974,-94.3835
"889",37.72267,-97.3236
"890",37.09689,-94.3856
"891",NA,NA
"892",39.10417,-94.6878
"893",NA,NA
"894",NA,NA
"895",NA,NA
"896",39.05777,-94.5104
"897",NA,NA
"898",39.16209,-94.4825
"899",40.82674,-91.2667
"900",NA,NA
"901",NA,NA
"902",NA,NA
"903",NA,NA
"904",NA,NA
"905",NA,NA
"906",37.50134,-95.8238
"907",NA,NA
"908",39.1468,-94.6343
"909",NA,NA
"910",NA,NA
"911",NA,NA
"912",NA,NA
"913",NA,NA
"914",NA,NA
"915",NA,NA
"916",NA,NA
"917",NA,NA
"918",NA,NA
"919",NA,NA
"920",38.17458,-90.3493
"921",NA,NA
"922",43.14091,-93.2019
"923",37.75046,-100.0089
"924",NA,NA
"925",NA,NA
"926",39.10521,-94.5994
"927",41.33582,-96.1118
"928",37.50134,-95.8238
"929",38.65018,-92.7495
"930",NA,NA
"931",NA,NA
"932",NA,NA
"933",NA,NA
"934",NA,NA
"935",NA,NA
"936",NA,NA
"937",NA,NA
"938",38.7267,-94.0302
"939",NA,NA
"940",NA,NA
"941",NA,NA
"942",NA,NA
"943",NA,NA
"944",NA,NA
"945",40.73705,-112.9841
"946",40.6861,-113.1333
"947",39.73994,-103.7078
"948",40.8186,-113.2083
"949",NA,NA
"950",NA,NA
"951",NA,NA
"952",39.66083,-104.6967
"953",NA,NA
"954",47.62029,-111.212
"955",45.79665,-108.484
"956",46.60101,-112.0235
"957",39.66418,-105.011
"958",NA,NA
"959",NA,NA
"960",39.87073,-104.8813
"961",NA,NA
"962",NA,NA
